,age,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,sex_F,sex_M,school_GP,school_MS,address_R,address_U,famsize_GT3,famsize_LE3,Pstatus_A,Pstatus_T,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,reason_course,reason_home,reason_other,reason_reputation,guardian_father,guardian_mother,guardian_other,avgGrade
0,0.428571429,1,1,0.333333333,0.333333333,0,1,0,0,0,1,1,0,0,0.75,0.5,0.75,0,0,0.5,0.08,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,5.666666667
1,0.285714286,0.25,0.25,0,0.333333333,0,0,1,0,0,0,1,1,0,1,0.5,0.5,0,0,0.5,0.053333333,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5.333333333
2,0,0.25,0.25,0,0.333333333,1,1,0,1,0,1,1,1,0,0.75,0.5,0.25,0.25,0.5,0.5,0.133333333,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,8.333333333
3,0,1,0.5,0,0.666666667,0,0,1,1,1,1,1,1,1,0.5,0.25,0.25,0,0,1,0.026666667,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,14.66666667
4,0.142857143,0.75,0.75,0,0.333333333,0,0,1,1,0,1,1,0,0,0.75,0.5,0.25,0,0.25,1,0.053333333,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,8.666666667
5,0.142857143,1,0.75,0,0.333333333,0,0,1,1,1,1,1,1,0,1,0.75,0.25,0,0.25,1,0.133333333,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,15
6,0.142857143,0.5,0.5,0,0.333333333,0,0,0,0,0,1,1,1,0,0.75,0.75,0.75,0,0,0.5,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,11.66666667
7,0.285714286,1,1,0.333333333,0.333333333,0,1,1,0,0,1,1,0,0,0.75,0,0.75,0,0,0,0.08,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5.666666667
8,0,0.75,0.5,0,0.333333333,0,0,1,1,0,1,1,1,0,0.75,0.25,0.25,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,17.66666667
9,0,0.75,1,0,0.333333333,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,14.66666667
10,0,1,1,0,0.333333333,0,0,1,1,0,1,1,1,0,0.5,0.5,0.5,0,0.25,0.25,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,9
11,0,0.5,0.25,0.666666667,0.666666667,0,0,1,0,1,1,1,1,0,1,0.25,0.25,0,0,0.75,0.053333333,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,11.33333333
12,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0.75,0.5,0.5,0,0.5,1,0.026666667,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,14
13,0,1,0.75,0.333333333,0.333333333,0,0,1,1,0,1,1,1,0,1,0.75,0.5,0,0.25,0.5,0.026666667,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,10.33333333
14,0,0.5,0.5,0,0.666666667,0,0,1,0,0,1,1,1,1,0.75,1,0.25,0,0,0.5,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,15.33333333
15,0.142857143,1,1,0,0,0,0,1,0,0,1,1,1,0,0.75,0.75,0.75,0,0.25,0.25,0.053333333,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,14
16,0.142857143,1,1,0,0.666666667,0,0,1,1,1,1,1,1,0,0.5,0.25,0.5,0,0.25,0.25,0.08,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,13.66666667
17,0.142857143,0.75,0.75,0.666666667,0.333333333,0,1,1,0,1,1,1,0,0,1,0.5,0.25,0,0,0.75,0.053333333,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,9.333333333
18,0.285714286,0.75,0.5,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0.25,0.75,1,0.213333333,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,5.333333333
19,0.142857143,1,0.75,0,0,0,0,0,1,1,1,1,1,0,0.5,0,0.5,0,0.5,1,0.053333333,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,9.333333333
20,0,1,0.75,0,0.333333333,0,0,0,0,0,1,1,1,0,0.75,0.75,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,14
21,0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,0.75,0.25,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,14
22,0.142857143,1,0.5,0,0.333333333,0,0,0,0,1,1,1,1,0,0.75,1,0,0,0.5,1,0.026666667,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,15.33333333
23,0.142857143,0.5,0.5,0.333333333,0.333333333,0,0,1,0,1,1,1,1,0,1,0.75,0.75,0.25,0.75,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,12.66666667
24,0,0.5,1,0,0.666666667,0,1,1,1,1,1,1,1,0,0.75,0.5,0.25,0,0,1,0.026666667,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,9
25,0.142857143,0.5,0.5,0,0,0.666666667,0,1,1,0,0,1,1,0,0,0.25,0.25,0,0.5,1,0.186666667,1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,7.666666667
